name,rack_id,device_type,interfaces,commands
S11,1,SWITCH,"FastEthernet0/1-FastEthernet0/24,GigabitEthernet0/1-GigabitEthernet0/2",
S12,1,SWITCH,"FastEthernet0/1-FastEthernet0/24,GigabitEthernet0/1-GigabitEthernet0/2",
S13,1,SWITCH,"FastEthernet0,GigabitEthernet1/0/1-GigabitEthernet1/0/52,Tel1/0/1-1/0/2",
S14,1,SWITCH,"GigabitEthernet0/0,GigabitEthernet1/0/1-GigabitEthernet1/0/24,GigabitEthernet1/1/1-GigabitEthernet1/1/4",
S15,1,SWITCH,"GigabitEthernet0/0,GigabitEthernet1/0/1-GigabitEthernet1/0/24,GigabitEthernet1/1/1-GigabitEthernet1/1/4,Tel1/1/1-Tel1/1/4",
R11,1,ROUTER,"GigabitEthernet0/0,GigabitEthernet0/1,GigabitEthernet0/1/0-GigabitEthernet0/1/7, Embedded-Service-Engine0/0",
R12,1,ROUTER,"FastEthernet0/0,FastEthernet0/1,Serial0/0/0,Serial0/0/1,Serial0/1/0,ATM0/2/0,Serial1/0-Serial1/7",
R13,1,ROUTER,"FastEthernet0/0,FastEthernet0/1,Serial0/0/0-Serial0/0/1,Serial0/1/0,ATM0/3/0",
R14,1,ROUTER,"GigabitEthernet0/0/0-GigabitEthernet0/0/2,GigabitEthernet0/1/0-GigabitEthernet0/1/3,Serial0/2/0,Serial0/2/1,ucsel1/0/0,ucsel1/0/1,GigabitEthernet0",
R15,1,ROUTER,"GigabitEthernet0/0/0-GigabitEthernet0/0/2,GigabitEthernet0/1/0-GigabitEthernet0/1/3,Serial0/2/0,Serial0/2/1,ucsel1/0/0,ucsel1/0/1,GigabitEthernet0",
S21,2,SWITCH,FastEthernet0/1-FastEthernet0/24,
S22,2,SWITCH,"FastEthernet0/1-FastEthernet0/24,GigabitEthernet0/1-GigabitEthernet0/2",
S23,2,SWITCH,"FastEthernet0/1-FastEthernet0/48,GigabitEthernet0/1-GigabitEthernet0/4",
S24,2,SWITCH,"GigabitEthernet0/0,GigabitEthernet1/0/1-GigabitEthernet1/0/24,GigabitEthernet1/1/1-GigabitEthernet1/1/4",
S25,2,SWITCH,,
R21,2,ROUTER,"GigabitEthernet0/0, GigabitEthernet0/1",
R22,2,ROUTER,"FastEthernet0/0,FastEthernet0/1,Serial0/0/0,Serial0/01,Serial0/1/0,ATM0/2/0,Serial1/0-Serial1/3",
R23,2,ROUTER,"FastEthernet0/0,FastEthernet0/1,Serial0/0/1-Serial0/0/3,Serial0/1/0,ATM0/2/0",
R24,2,ROUTER,"GigabitEthernet0/0/0-GigabitEthernet0/0/2,GigabitEthernet0/1/0-GigabitEthernet0/1/3,Serial0/2/0,Serial0/2/1,ucsel1/0/0,ucsel1/0/1,GigabitEthernet0",
R25,2,ROUTER,"GigabitEthernet0/0/0-GigabitEthernet0/0/2,GigabitEthernet0/1/0-GigabitEthernet0/1/3,Serial0/2/0,Serial0/2/1,ucsel1/0/0,ucsel1/0/1,GigabitEthernet0",
S31,3,SWITCH,"Vlan1,FastEthernet0/1-FastEthernet0/24,GigabitEthernet0/1-GigabitEthernet0/2",
S32,3,SWITCH,"Vlan1,FastEthernet0/1-FastEthernet0/24",
